//========================================================================================
// »» The Fusion Project ««
// Copyright (c) 2004, Cobax Information Systems
// http://cobax.net/
// ---------------------------------------------------------------------------------------
//
// Payon Town Warps - Warp Locations
//
//========================================================================================

// ---------------------------- New entrance/exit warps. ---------------------------------

pay_fild08.gat,17,75,0		warp	payonwarp001	2,4,payon.gat,262,93
payon_in03.gat,83,124,0	 	warp	payontestwarp000	2,2,payon_in03.gat,94,124
payon_in03.gat,98,114,0	 	warp	payontestwarp000	2,2,payon.gat,155,243
payon.gat,155,247,0	 	warp	payontestwarp000	2,2,payon_in03.gat,98,118

// ------------------------------- Sort of Refinery --------------------------------------

payon.gat,224,117,0	 	warp	payontestwarp000	2,2,payon_in01.gat,13,51
payon_in01.gat,17,51,0	 	warp	payontestwarp000	2,2,payon.gat,220,117
payon_in01.gat,9,80,0	 	warp	payontestwarp000	2,2,payon_in01.gat,9,55
payon_in01.gat,9,59,0	 	warp	payontestwarp000	2,2,payon_in01.gat,9,83
payon_in01.gat,9,17,0	 	warp	payontestwarp000	2,2,payon_in01.gat,9,42
payon_in01.gat,9,38,0	 	warp	payontestwarp000	2,2,payon_in01.gat,9,13

// ------------------------------- ??????????? -------------------------------------------

payon_in03.gat,186,32,0	 	warp	payontestwarp000	2,2,payon_in03.gat,189,14
payon_in03.gat,189,17,0	 	warp	payontestwarp000	2,2,payon_in03.gat,186,36
payon_in03.gat,172,32,0	 	warp	payontestwarp000	2,2,payon_in03.gat,159,14
payon_in03.gat,159,17,0	 	warp	payontestwarp000	2,2,payon_in03.gat,172,36
payon_in03.gat,158,32,0	 	warp	payontestwarp000	2,2,payon_in03.gat,129,14
payon_in03.gat,129,17,0	 	warp	payontestwarp000	2,2,payon_in03.gat,158,36

payon_in03.gat,74,18,0	 	warp	payontestwarp000	2,2,payon_in03.gat,62,18
payon_in03.gat,67,18,0	 	warp	payontestwarp000	2,2,payon_in03.gat,78,18
payon_in03.gat,46,18,0	 	warp	payontestwarp000	2,2,payon_in03.gat,35,18
payon_in03.gat,39,18,0	 	warp	payontestwarp000	2,2,payon_in03.gat,51,18
payon_in03.gat,28,18,0	 	warp	payontestwarp000	2,2,payon_in03.gat,17,18
payon_in03.gat,21,18,0	 	warp	payontestwarp000	2,2,payon_in03.gat,32,18

payon_in03.gat,185,178,0	warp	payontestwarp000	2,2,payon_in03.gat,185,149
payon_in03.gat,185,153,0	warp	payontestwarp000	2,2,payon_in03.gat,185,182

payon_in03.gat,19,73,0	 	warp	payontestwarp000	2,2,payon_in03.gat,19,90
payon_in03.gat,19,86,0	 	warp	payontestwarp000	2,2,payon_in03.gat,19,69
payon_in03.gat,19,103,0	 	warp	payontestwarp000	2,2,payon_in03.gat,19,122
payon_in03.gat,19,118,0	 	warp	payontestwarp000	2,2,payon_in03.gat,19,99
payon_in03.gat,11,131,0	 	warp	payontestwarp000	2,2,payon_in03.gat,11,146
payon_in03.gat,11,142,0	 	warp	payontestwarp000	2,2,payon_in03.gat,11,127
payon_in03.gat,27,131,0	 	warp	payontestwarp000	2,2,payon_in03.gat,27,146
payon_in03.gat,27,142,0	 	warp	payontestwarp000	2,2,payon_in03.gat,27,127
payon_in03.gat,11,161,0	 	warp	payontestwarp000	2,2,payon_in03.gat,11,176
payon_in03.gat,11,172,0	 	warp	payontestwarp000	2,2,payon_in03.gat,11,157
payon_in03.gat,27,161,0	 	warp	payontestwarp000	2,2,payon_in03.gat,27,176
payon_in03.gat,27,172,0	 	warp	payontestwarp000	2,2,payon_in03.gat,27,157






